id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
MH836601,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,,Erotylinae sp. 4 ACP-2013,
MH836605,Coleoptera,Elateriformia,Byrrhoidea,Ptilodactylidae,,,,Ptilodactylidae sp. 2 ACP-2013,
MH908171,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,Tarsosteninae sp. ACP-2013,
MT862405,Coleoptera,,Scarabaeoidea,Lucanidae,Syndesinae,,Sinodendron,Sinodendron cylindricum,
NC_003081,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,,,,Tribolium castaneum,
NC_010969,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Rhagophthalminae,,,Rhagophthalmus lufengensis,
NC_011322,Coleoptera,,Sphaeriusoidea,Sphaeriusidae,,,,Sphaerius sp. BT0074,
NC_013576,Coleoptera,Elateriformia,Elateroidea,Cantharidae,Chauliognathinae,,,Chauliognathus opacus,
NC_013578,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Lucanus mazama,
NC_022935,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Diabrotica barberi,
NC_026719,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cryptorhynchinae,,,Eucryptorrhynchus scrobiculatus,
NC_027256,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,Pimeliinae,,,Asbolus verrucosus,
NC_027577,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cyclominae,,,Aegorhinus superciliosus,
NC_028204,Coleoptera,Cucujiformia,Cucujoidea,Laemophloeidae,,,Cryptolestes,Cryptolestes pusillus,
NC_028535,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Dryophthorinae,,,Rhynchophorus ferrugineus,
NC_028604,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,Myrmecocephalus concinnus,
NC_028605,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Omaliinae,,,Olophrum piceum,
NC_028607,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,Cholevinae,,,Phacomorphus fratyi,
NC_028609,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scaphidiinae,,,Scaphidium quadrimaculatum,
NC_028612,Coleoptera,,Hydrophiloidea,Hydrophilidae,Sphaeridiinae,,,Sphaeridium bipustulatum,
NC_029192,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,,Epicauta chinensis,
NC_033339,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,,Lytta caraganae,
NC_033340,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,Trichodes sinae,
NC_033872,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lamiinae,,,Apriona swainsoni,
NC_035677,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,,,Acanthoscelides obtectus,
