id,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CPBC0136,Coleoptera,,,,Coccinellidae,,,,,col159
CPBC0137,Coleoptera,,,,Coccinellidae,,,,,col159
CPBC0138,Coleoptera,,,,Coccinellidae,,,,,col159
CPBC0139,Coleoptera,,,,Mordellidae,,,,,col160
CPBC0140,Coleoptera,,,,Chrysomelidae,Alticini,,,,col161
CPBC0141,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col162
CPBC0142,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col163
CPBC0143,Coleoptera,,,,Chrysomelidae,Eumolpinae,,,,col163
CPBC0145,Coleoptera,,,,Cerambycidae,Lamiinae,,,,col166
CPBC0146,Coleoptera,,,,Tenebrionidae,Tenebrioninae,,,,col167
CPBC0147,Coleoptera,,,,Melyridae,Malachiinae,,,,col168
CPBC0148,Coleoptera,,,,Aderidae,,,,,col170
CPBC0150,Coleoptera,,,,Coccinellidae,,,,,col171
CPBC0149,Coleoptera,,,,Coccinellidae,,,,,col171
CPBC0151,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col174
CPBC0152,Coleoptera,,,,Curculionidae,,,,,col178
CPBC0154,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col181
CPBC0153,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col181
CPBC0155,Coleoptera,,,,Cantharidae,,,,,col186
CPBC0156,Coleoptera,,,,Cantharidae,,,,,col189
CPBC0157,Coleoptera,,,,Cerambycidae,Lamiinae,Acanthocini,,,col191
CPBC0158,Coleoptera,,,,Anthribidae,,,,,col195
CPBC0159,Coleoptera,,,,Chrysomelidae,Alticini,,,,col197
CPBC0160,Coleoptera,,,,Coccinellidae,,,,,col199
CPBC0162,Coleoptera,,,,Coccinellidae,,,,,col200
CPBC0163,Coleoptera,,,,Curculionidae,Conoderinae,,,,col204
CPBC0164,Coleoptera,,,,Staphylinidae,Scydmaenidae,,,,col205
CPBC0165,Coleoptera,,,,Curculionidae,,,,,col207
CPBC0166,Coleoptera,,,,Curculionidae,Scolytinae,,,,col223
CPBC0167,Coleoptera,,,,Chrysomelidae,Cryptocephalinae,,,,col226
CPBC0168,Coleoptera,,,,Curculionidae,Platypodinae,,,,col229
CPBC0169,Coleoptera,,,,Tenebrionidae,,,,,col245
CPBC0170,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col249
CPBC0171,Coleoptera,,,,Chrysomelidae,Alticini,,,,col252
CPBC0172,Coleoptera,,,,Salpingidae,Othniinae,,,,col255
CPBC0173,Coleoptera,,,,Elateridae,,,,,col259
CPBC0174,Coleoptera,,,,Elateridae,,,,,col262
CPBC0175,Coleoptera,,,,Elateridae,,,,,col263
CPBC0176,Coleoptera,,,,Elateridae,,,,,col264
CPBC0177,Coleoptera,,,,Elateridae,,,,,col265
CPBC0178,Coleoptera,,Elateriformia,,,,,,,col267
CPBC0179,Coleoptera,,,,Mordellidae,,,,,col269
CPBC0180,Coleoptera,,,,Mordellidae,,,,,col270
CPBC0182,Coleoptera,,,,Cantharidae,,,,,col274
CPBC0181,Coleoptera,,,,Cantharidae,,,,,col274
CPBC0183,Coleoptera,,,,Cleridae,,,,,col277
CPBC0184,Coleoptera,,,,Tenebrionidae,,,,,col278
CPBC0185,Coleoptera,,,,Tenebrionidae,,,,,col280
CPBC0186,Coleoptera,,,,Tenebrionidae,,,,,col281
CPBC0187,Coleoptera,,,,Tenebrionidae,,,,,col284
CPBC0188,Coleoptera,,,,Carabidae,,,,,col285
CPBC0189,Coleoptera,,,,Carabidae,,,,,col287
CPBC0190,Coleoptera,,,,Carabidae,,,,,col289
CPBC0191,Coleoptera,,,,Curculionidae,Scolytinae,,,,col293
CPBC0192,Coleoptera,,,,Curculionidae,Scolytinae,,,,col294
CPBC0193,Coleoptera,,,,Curculionidae,Platypodinae,,,,col295
CPBC0194,Coleoptera,,,,Lycidae,,,,,col296
CPBC0195,Coleoptera,,,,Chrysomelidae,Galerucinae,,,,col297
CPBC0196,Coleoptera,,,,Chrysomelidae,,,,,col298
CPBC0197,Coleoptera,,,,Chrysomelidae,,,,,col300
CPBC0198,Coleoptera,,,,Elateridae,,,,,col301
CPBC0199,Coleoptera,,,,Brentidae,Apioninae,,,,col302
CPBC0388,Coleoptera,,,,Brentidae,Apioninae,,,,col302
CPBC0200,Coleoptera,,,,Brentidae,Apioninae,,,,col303
